This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[note 1] refers to cell B7 and [note 4] refers to cell D7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Rank,Name,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,3,George,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,4,Muhammad,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5,Arthur,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,6,Leo,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,7,Oscar,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,8,Harry,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,9,Henry,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,10,Archie,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,All ranks,All names,28645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,1,Noah,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,2,George,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,3,Muhammad,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,4,Oliver,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,5,Arthur,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,6,Leo,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,7,Freddie,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,8,Henry,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,9,Theodore,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,10,Jack,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,All ranks,All names,26804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,1,Muhammad,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,2,Noah,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,3,Oliver,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,4,Arthur,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,5,George,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,6,Theodore,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,7,Leo,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,8,Freddie,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,9,Harry,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,10,Archie,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,All ranks,All names,26355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
